Timestamp,Artifact,Type
1682400825,A1,Patch Update
1687762885,A1,Patch Update
1680521500,A1,Patch Update
1688377891,A1,Patch Update
1687331325,A1,Patch Update
1686724860,A1,Patch Update
1689141024,A1,Patch Update
1690182176,A1,Patch Update
1686125781,A1,Patch Update
1686121992,A1,Patch Update
1693913630,A1,Patch Update
1694431465,A1,Patch Update
1688383477,A1,Patch Update
1652162346,A1,Patch Update
1693227280,A1,Patch Update
1649743515,A1,Patch Update
1646145168,A1,Patch Update
1692626778,A1,Patch Update
1646815229,A1,Patch Update
1649917309,A1,Patch Update
1692038441,A1,Patch Update
1660044160,A1,Patch Update
1648462547,A1,Patch Update
1649079870,A1,Patch Update
1656321381,A1,Patch Update
1662708129,A1,Patch Update
1650952434,A1,Patch Update
1647855765,A1,Patch Update
1662548531,A1,Patch Update
1651482081,A1,Patch Update
1667821149,A1,Patch Update
1656957391,A1,Patch Update
1661244612,A1,Patch Update
1664183233,A1,Patch Update
1663231729,A1,Patch Update
1654605917,A1,Patch Update
1666079170,A1,Patch Update
1667987343,A1,Patch Update
1655447364,A1,Patch Update
1669198531,A1,Patch Update
1665468218,A1,Patch Update
1659434581,A1,Patch Update
1662361328,A1,Patch Update
1675861195,A1,Patch Update
1660047035,A1,Patch Update
1666600204,A1,Patch Update
1673951198,A1,Patch Update
1664787820,A1,Patch Update
1671451398,A1,Patch Update
1674462883,A1,Patch Update
1670852981,A1,Patch Update
1680504383,A1,Patch Update
1673266651,A1,Patch Update
1679387854,A1,Patch Update
1672146097,A1,Patch Update
1598446102,A1,Patch Update
1601462761,A1,Patch Update
1678455269,A1,Patch Update
1646120464,A1,Patch Update
1646724009,A1,Patch Update
1645446694,A1,Patch Update
1643012878,A1,Patch Update
1682489913,A1,Patch Update
1680592462,A1,Patch Update
1642591089,A1,Patch Update
1680761260,A1,Patch Update
1686723063,A1,Patch Update
1647249670,A1,Patch Update
1687765286,A1,Patch Update
1689063522,A1,Patch Update
1685954426,A1,Patch Update
1690182626,A1,Patch Update
1688376311,A1,Patch Update
1690524422,A1,Patch Update
1692002050,A1,Patch Update
1694414466,A1,Patch Update
1692615731,A1,Patch Update
1695106589,A1,Patch Update
1696231751,A1,Patch Update
1693913813,A1,Patch Update
1625468510,A1,Patch Update
1623655781,A1,Patch Update
1623827310,A1,Patch Update
1629714064,A1,Patch Update
1633677783,A1,Patch Update
1627286222,A1,Patch Update
1622559933,A1,Patch Update
1622713132,A1,Patch Update
1628496070,A1,Patch Update
1560926286,A1,Patch Update
1601892596,A1,Patch Update
1574328649,A1,Patch Update
1577092958,A1,Patch Update
